5,9,521
0,0,0
18,7,1159
0,0,0
6,8,433
0,0,0
24,26,1286
0,0,0
10,10,802
0,0,0
10,9,902
0,0,0
12,4,656
0,0,0
24,14,1111
0,0,0
13,6,839
0,0,0
19,15,1082
0,0,0
7,14,786
0,0,0
17,20,979
0,0,0
11,10,520
0,0,0
18,25,1207
0,0,0
13,8,614
0,0,0
2,0,111
13,2,668
5,0,277
1,1,204
2,0,283
2,2,267
0,3,227
9,1,313
1,2,444
1,2,524
8,5,647
0,0,0
24,5,957
0,0,0
9,1,491
0,0,0
5,8,470
0,0,0
10,5,618
0,0,0
8,2,782
0,0,0
8,6,587
0,0,0
10,8,825
0,0,0
8,4,711
0,0,0
13,6,717
0,0,0
26,14,1378
26,14,1378
12,8,1024
12,8,1024
0,0,10
0,0,10
13,11,1091
13,11,1091
8,13,735
8,13,735
17,20,1370
17,20,1370
13,6,948
13,6,948
6,13,670
6,13,670
15,19,746
15,19,746
13,6,630
13,6,630
13,6,874
13,6,874
4,4,354
4,4,354
20,10,1185
20,10,1185
21,23,1405
21,23,1405
20,14,937
20,14,937
0,0,13
0,0,13
1,1,228
1,1,228
8,9,827
8,9,827
13,8,940
13,8,940
2,1,194
2,1,194
31,12,2609
31,12,2609
0,0,146
0,0,146
10,5,1206
10,5,1206
14,13,1376
14,13,1376
17,29,2704
17,29,2704
10,17,1334
10,17,1334
20,20,881
20,20,881
3,3,576
3,3,576
9,4,695
9,4,695
19,14,959
19,14,959
12,12,544
12,12,544
15,3,868
15,3,868
3,1,226
3,1,226
5,4,364
5,4,364
11,19,1068
11,19,1068
21,20,1381
21,20,1381
15,5,931
15,5,931
19,2,1122
6,13,670
15,19,746
13,6,630
21,23,1405
20,14,937
0,0,13
0,0,13
31,12,2609
4,0,445
0,0,13
10,5,847
0,0,13
0,0,13
14,13,1376
10,17,1334
20,20,881
12,14,1072
16,16,780
18,3,477
26,13,1069
26,13,1069
16,10,832
16,10,832
13,15,813
13,15,813
15,3,681
16,12,936
19,19,576
16,18,1295
16,18,1295
29,10,884
29,10,884
18,13,603
12,8,848
10,8,630
13,11,656
2,0,139
14,9,868
2,4,480
8,1,311
5,6,456
5,0,305
7,1,364
5,4,337
0,7,189
1,2,185
7,4,581
10,8,556
11,4,576
7,2,451
18,12,515
24,7,1206
23,17,767
